Local time,Open,High,Low,Close,Volume
31.10.2016 01:00:00.000 GMT+0100,1.09821,1.09824,1.09610,1.09685,15643840332.0312
31.10.2016 05:00:00.000 GMT+0100,1.09685,1.09718,1.09557,1.09610,14972199829.1016
31.10.2016 09:00:00.000 GMT+0100,1.09609,1.09623,1.09453,1.09505,40109629882.8125
31.10.2016 13:00:00.000 GMT+0100,1.09507,1.09629,1.09359,1.09618,54955269531.25
31.10.2016 17:00:00.000 GMT+0100,1.09618,1.09797,1.09572,1.09766,36723270507.8126
31.10.2016 21:00:00.000 GMT+0100,1.09764,1.09826,1.09677,1.09707,15916290039.0626
01.11.2016 01:00:00.000 GMT+0100,1.09708,1.09721,1.09599,1.09611,18472010253.9064
01.11.2016 05:00:00.000 GMT+0100,1.09611,1.09863,1.09611,1.09850,20351879882.8125
01.11.2016 09:00:00.000 GMT+0100,1.09851,1.10340,1.09809,1.10271,52939589843.75
01.11.2016 13:00:00.000 GMT+0100,1.10273,1.10493,1.10095,1.10425,63683460937.5
01.11.2016 17:00:00.000 GMT+0100,1.10424,1.10690,1.10417,1.10510,51797940429.6875
01.11.2016 21:00:00.000 GMT+0100,1.10511,1.10621,1.10510,1.10553,14318780029.296999
02.11.2016 01:00:00.000 GMT+0100,1.10555,1.10678,1.10496,1.10671,21915209960.9377
02.11.2016 05:00:00.000 GMT+0100,1.10671,1.10750,1.10620,1.10745,25912849609.3751
02.11.2016 09:00:00.000 GMT+0100,1.10744,1.10999,1.10721,1.10987,56501570312.5
02.11.2016 13:00:00.000 GMT+0100,1.10989,1.11195,1.10808,1.11190,72530320312.5
02.11.2016 17:00:00.000 GMT+0100,1.11189,1.11230,1.10845,1.10919,54173970214.843796
02.11.2016 21:00:00.000 GMT+0100,1.10920,1.10992,1.10906,1.10939,11402189819.335999
03.11.2016 01:00:00.000 GMT+0100,1.10940,1.11259,1.10915,1.11163,27504750000.0001
03.11.2016 05:00:00.000 GMT+0100,1.11162,1.11258,1.11084,1.11214,28580860351.5626
03.11.2016 09:00:00.000 GMT+0100,1.11213,1.11215,1.10656,1.10746,68296060546.875
03.11.2016 13:00:00.000 GMT+0100,1.10746,1.10958,1.10596,1.10954,70294290039.0625
03.11.2016 17:00:00.000 GMT+0100,1.10955,1.11206,1.10930,1.11066,47750610351.5625
03.11.2016 21:00:00.000 GMT+0100,1.11066,1.11126,1.10983,1.10995,11138289916.992199
04.11.2016 01:00:00.000 GMT+0100,1.10994,1.11079,1.10879,1.10948,20813929931.6407
04.11.2016 05:00:00.000 GMT+0100,1.10947,1.11075,1.10867,1.10966,20045560546.875
04.11.2016 09:00:00.000 GMT+0100,1.10967,1.11078,1.10882,1.11032,55080990234.375
04.11.2016 13:00:00.000 GMT+0100,1.11033,1.11249,1.10798,1.11206,79416398437.5
04.11.2016 17:00:00.000 GMT+0100,1.11207,1.11379,1.11124,1.11377,35180280273.4375
04.11.2016 21:00:00.000 GMT+0100,1.11380,1.11412,1.11296,1.11378,6468209960.9375
06.11.2016 21:00:00.000 GMT+0100,1.10637,1.10994,1.10566,1.10945,12546879882.8125
07.11.2016 01:00:00.000 GMT+0100,1.10946,1.11103,1.10706,1.10796,35355359375.0001
07.11.2016 05:00:00.000 GMT+0100,1.10797,1.10856,1.10550,1.10590,30841649902.3438
07.11.2016 09:00:00.000 GMT+0100,1.10589,1.10735,1.10483,1.10635,50331950195.3125
07.11.2016 13:00:00.000 GMT+0100,1.10636,1.10728,1.10309,1.10338,56820299804.6875
07.11.2016 17:00:00.000 GMT+0100,1.10338,1.10434,1.10274,1.10380,36909180175.781296
07.11.2016 21:00:00.000 GMT+0100,1.10382,1.10496,1.10367,1.10490,14416399902.343899
08.11.2016 01:00:00.000 GMT+0100,1.10489,1.10489,1.10298,1.10387,21665529296.8751
08.11.2016 05:00:00.000 GMT+0100,1.10388,1.10566,1.10381,1.10551,19363649902.3437
